Reynolds,TemporalContext,KE_1,KE_u,KE_v,KE_w,KE_u^2,KE_u v,KE_u w,KE_v^2,KE_v w,KE_w^2,KE_MSE,Helicity_1,Helicity_u,Helicity_v,Helicity_w,Helicity_wx,Helicity_wy,Helicity_wz,Helicity_u^2,Helicity_u v,Helicity_u w,Helicity_u wx,Helicity_u wy,Helicity_u wz,Helicity_v^2,Helicity_v w,Helicity_v wx,Helicity_v wy,Helicity_v wz,Helicity_w^2,Helicity_w wx,Helicity_w wy,Helicity_w wz,Helicity_wx^2,Helicity_wx wy,Helicity_wx wz,Helicity_wy^2,Helicity_wy wz,Helicity_wz^2,Helicity_MSE,Enstrophy_1,Enstrophy_wx,Enstrophy_wy,Enstrophy_wz,Enstrophy_wx^2,Enstrophy_wx wy,Enstrophy_wx wz,Enstrophy_wy^2,Enstrophy_wy wz,Enstrophy_wz^2,Enstrophy_MSE
3.6,7,4.9670260491738995e-17,1.4899225440689654e-17,-4.8515839262973e-16,1.3302869713823902e-16,0.5000000000000002,7.767370026339841e-15,-2.029123613929159e-15,0.500000000000002,2.225106007219313e-15,0.4999999999999937,2.597926809313866e-33,-2.5737033877087223e-19,5.0854302277116455e-16,5.811246001978691e-15,-8.798538519279545e-15,2.6549753891712255e-15,5.675606030918223e-17,2.2587988756770596e-16,-9.071288132410302e-15,-1.0642356883418165e-13,1.6197847879962873e-13,0.9999999999999492,-5.671217183549812e-15,-2.1559257034319545e-14,3.4429355665480145e-14,2.560308270322376e-14,3.1656120515946125e-14,1.0000000000000893,-2.8798761563823025e-14,-1.0165423120461309e-13,-4.2968824690839305e-14,1.0491656409890977e-13,1.0000000000003912,3.141756489758625e-15,2.5240543295194223e-14,1.627439117025929e-13,-2.474220394971969e-15,-1.0406549312598432e-14,3.610727967583767e-15,2.947314444419114e-36,9.125351082065349e-20,-2.954236701583035e-16,-4.122602332416421e-17,-6.41946580725327e-18,0.4999999999999609,3.688384090955757e-15,-1.1150998847513051e-14,0.4999999999999994,-1.4106353800822758e-16,0.5000000000000008,8.443678751892275e-38
3.6,6,5.82888445040042e-17,-2.626664091984314e-17,-1.5378751058070446e-16,1.825673068561399e-16,0.5000000000000001,4.172903466873846e-15,-2.3134697513849274e-17,0.4999999999999913,-4.6476950658611e-16,0.5000000000000001,3.346867900794694e-33,-6.71997941334618e-19,1.2424781333168437e-15,8.470247888966728e-15,-2.126452045145132e-14,-4.5191293192393936e-15,1.1699615212632692e-16,-6.0835138081552e-17,-2.2363883677943e-14,-1.6094927216738845e-13,4.03439629456454e-13,1.000000000000104,-1.6399570144388525e-14,-1.2760045018692348e-14,-1.056199914664898e-14,8.493739829998184e-14,2.6726904579877744e-14,1.0000000000002658,1.7267874083088028e-13,-2.885769390697415e-13,-8.451683084090682e-14,3.169291073535935e-13,1.000000000000317,-1.0764051704141292e-13,-6.7196279825732906e-15,8.935688445171268e-13,-1.3315174546833048e-14,-1.3729957309096598e-14,3.8261014549611945e-14,6.969720465340862e-36,1.2979261490510421e-19,3.0303366223359373e-16,4.3247448322448394e-17,2.5455271179369505e-17,0.5000000000000387,1.5729530821245277e-15,4.068693013080462e-15,0.4999999999999996,-6.320639027542268e-17,0.5000000000000001,8.885804365325559e-38
3.6,5,6.600020914655731e-17,-2.9336249327558617e-17,2.191197385228792e-16,3.0244254493828704e-16,0.5000000000000003,-3.4324461904048082e-15,-5.340196890247212e-15,0.4999999999999905,4.824753662481734e-15,0.5000000000000047,4.289741581416037e-33,-3.7896785683043226e-19,7.625136205703016e-16,3.1875322411646478e-15,-1.4078582053365635e-14,-2.8737914430443218e-15,1.6446079689291914e-17,-7.463612067870898e-17,-1.3487638860515532e-14,-5.916456989310457e-14,2.583396938914817e-13,1.0000000000000608,-4.887319764260642e-15,-4.374974054379076e-15,3.8773128759751925e-14,2.317689080844373e-14,6.1885686677482105e-15,1.0000000000001028,1.375260980683208e-13,-1.4034305764160325e-13,-5.057235151259701e-14,1.053688777517919e-13,1.000000000000128,-7.838646848662075e-14,-1.305311548317162e-13,5.492567028677003e-13,-3.046290138503405e-15,-7.309886672443668e-15,2.4112069530614345e-14,1.8741087470561545e-36,2.6268607726527916e-19,5.87081542029391e-16,5.972865192926029e-17,1.636407890876216e-17,0.5000000000000603,2.5428869493435537e-15,-5.14583212488473e-16,0.4999999999999992,1.437210061106094e-16,0.4999999999999996,1.6634890563680565e-37
3.6,4,7.303115926182628e-17,9.639403326712392e-17,-2.424192106368607e-15,-1.1102544513968126e-15,0.4999999999999979,4.5459654828104143e-14,1.8886637300487852e-14,0.4999999999999898,-2.3234671675024443e-14,0.5000000000000099,5.161744824840842e-33,-1.8383595626490872e-19,7.081891039388089e-18,1.6334519462898872e-16,-2.784186694787723e-16,2.000626992208873e-18,2.4730262081888965e-18,6.3868605679681696e-18,-4.590466784308122e-18,1.409959046855972e-15,2.2120052991303628e-15,1.0000000000000002,-3.548574764785724e-17,-2.4974825964569477e-17,7.456948485033207e-16,-1.932808192850273e-15,-2.247975376204985e-15,1.0,-9.867005614988284e-16,-5.084021375761272e-16,-1.1298566628581447e-14,3.756389455950654e-16,0.999999999999998,-2.731162116484409e-16,4.979462158202359e-15,0.0,2.2382089607788563e-16,-1.3973440960644903e-16,4.006187167639387e-17,7.729094500971182e-38,1.7276150106822744e-19,-4.458825034756425e-16,4.0071727678283545e-17,-1.9515268028367188e-17,0.4999999999997343,-3.437956014560471e-15,-1.985186977991868e-14,0.5,-3.5251483734169184e-16,0.4999999999999997,1.0270832289668002e-37
3.6,3,8.02889142195233e-17,1.2226495711393735e-16,3.8869248934067573e-16,4.848520511501141e-16,0.4999999999999985,-4.386283755298796e-15,-8.052206334873466e-15,0.4999999999999917,7.478198406842003e-15,0.4999999999999998,6.723142232839511e-33,-7.546549063088479e-19,5.486659810913392e-16,9.487250521609066e-16,-7.712916841005299e-15,-6.6184049974510495e-15,5.711877066445973e-17,-9.853879871165983e-17,-9.365341303024164e-15,-1.2963887470457922e-14,1.3859002536888964e-13,1.000000000000139,-8.257288639902012e-15,-2.430296350694442e-15,1.0271771569787408e-13,-6.566880720598498e-14,-1.2775150772402104e-14,1.000000000000058,-1.364605646369517e-13,-6.269631634005795e-14,1.673652623187041e-14,1.843073246492701e-13,1.0000000000002034,-9.59427775568228e-14,-1.756576562695564e-13,8.034873107032511e-13,-6.458697555060545e-15,-6.342120233941989e-15,2.5039485902979513e-14,5.272612099557103e-36,2.294627116752354e-19,3.784598639703307e-16,2.0866695740173872e-17,2.1375768359699172e-17,0.5000000000000461,-4.17663079162628e-15,-5.2089605662860035e-15,0.5000000000000001,-3.2370495687846933e-17,0.4999999999999998,7.989111999614748e-38
3.6,2,9.344359508034916e-17,-5.245548709856865e-17,1.1663478591102317e-15,4.239897708890553e-16,0.5000000000000013,-2.09532878571588e-14,-8.281496959944482e-15,0.4999999999999986,1.5470842255323742e-14,0.5000000000000009,8.959091715678745e-33,-2.8937551428928103e-19,3.087359433984422e-16,-4.1263183528325833e-16,-3.952319425387467e-15,-3.6333418492086026e-15,1.1291167386038265e-17,-3.712212008385069e-17,-5.3473704527077626e-15,8.96397669627161e-15,7.336085591068379e-14,1.000000000000066,-6.534917014932341e-15,1.353843660873484e-15,1.0978678688295289e-13,-8.937304397633962e-14,-7.149968432134062e-15,1.0000000000001077,-1.92600193698082e-13,-5.5195270538007265e-14,1.5418271006749766e-14,1.5833288880170793e-13,1.0000000000000897,-4.175046133849419e-14,-9.178611536940044e-14,6.891783248344847e-13,-3.633431862588777e-15,2.3082302088967512e-15,2.0108120515558886e-14,4.683295796093551e-36,2.0288401920320048e-19,-3.325327878148805e-16,1.0861216082153365e-17,6.422095829653121e-19,0.5000000000000385,2.6157427732393513e-15,-5.724663199113032e-15,0.5000000000000007,2.804128914894973e-17,0.5000000000000004,1.276047329910332e-37
3.6,1,1.1589727448072431e-16,1.229032531143608e-18,9.793001263938892e-16,2.653904044170475e-16,0.5000000000000003,-1.589712069810149e-14,-4.458821640646444e-15,0.4999999999999992,1.05910431514362e-14,0.4999999999999973,1.369728564780352e-32,1.8991306355408753e-19,-3.9337920121937888e-16,-8.848560420025518e-16,4.194018993525265e-15,2.678669025298325e-15,-2.1338526928064457e-17,5.74989339041637e-18,6.577574893093899e-15,8.522447967198076e-15,-8.17480816445177e-14,0.9999999999999074,4.240689668968557e-15,-3.509296462642656e-15,-8.836955712635608e-14,1.2997598498936752e-13,1.4970812221977372e-14,0.999999999999723,2.6705927245579106e-13,1.401875190010318e-13,1.3483180195732922e-14,-4.1640312490443376e-14,0.9999999999999126,4.6683657484912225e-14,4.1822073748632903e-14,-6.309372118982417e-13,5.559439193959822e-15,-8.333130646245149e-16,-1.796218448478795e-14,5.6037803273801784e-36,2.542694913158014e-19,-2.074638659632949e-16,-2.1319204211210017e-17,2.1403969640864044e-19,0.5000000000000301,-1.4773627917731865e-15,-5.3993726574111056e-15,0.4999999999999996,-1.2894497908809395e-16,0.5,9.095009475148848e-38
4.6,7,-9.072193697121277e-19,1.477684985701723e-16,-6.157232081595912e-16,-1.1505603010648325e-15,0.4999999999999984,7.195188184029063e-15,1.2548885082579068e-14,0.4999999999999999,2.7771189198087492e-15,0.4999999999999963,1.3148791795437224e-36,-1.0808668271960896e-19,1.610757565842457e-17,-2.9438692635140266e-17,-1.4173467207986544e-16,1.6194301614198731e-16,2.41880611815823e-18,1.1597207878735397e-17,-1.6427624319312907e-16,1.4915715040853843e-16,1.209028197061366e-15,0.9999999999999992,-3.1210129750275986e-17,-1.7708087334087282e-16,-1.190579357512953e-16,-8.146576541950721e-16,1.941246842018778e-15,1.0,-1.5648161139460736e-16,-6.539809207871524e-16,6.003705440707908e-16,-3.702470586203576e-16,1.0,2.864377766933892e-16,1.1565456174133537e-15,-1.5633621685730142e-16,-3.3982430305748093e-16,-1.7296558794799251e-16,2.641268185803827e-16,2.5517467688294076e-38,1.2367951563653616e-18,6.89546148755384e-16,3.471028437003729e-17,6.344992267494002e-17,0.5000000000000002,1.4887874912733386e-15,-2.5642532429516868e-15,0.4999999999999993,-3.5297715589256213e-16,0.4999999999999993,1.9425147572192475e-36
4.6,6,-2.7216581091363833e-18,1.458273783727926e-16,-3.309520334946877e-16,-4.485531283766459e-16,0.4999999999999982,3.5162454752061293e-15,5.5084847150332874e-15,0.5000000000000002,-5.022943619407506e-16,0.5000000000000043,2.767736613371998e-36,-1.957432104923804e-17,-4.3851700584474304e-15,3.632779302790912e-14,9.377868844437962e-14,-1.1500130497452265e-13,1.7968805918905596e-14,-5.111790228124515e-15,6.496424031846508e-14,-3.587699614121343e-13,-1.2879463050201445e-12,1.000000000001745,-2.443660006454105e-13,1.1058414793636065e-13,8.797994718911635e-13,-1.494863282327605e-12,3.2757510128864213e-13,0.9999999999994278,3.209637629079125e-13,-3.8622210287469314e-13,-2.861936411191907e-13,-3.277720081828489e-13,0.9999999999999658,2.953057179200101e-13,1.126960226711957e-12,4.809876079415586e-12,-1.2465098918881162e-13,-1.0698550089535118e-12,2.421919707082996e-13,9.7781489095008e-34,1.3218469722758736e-18,2.0395540135082844e-15,-8.027129828596826e-17,1.2276829157988276e-16,0.4999999999999996,1.9252465366944035e-15,-5.84791479248275e-15,0.5000000000000004,-3.3864674475068064e-16,0.5,4.359561136413822e-36
4.6,5,3.1752677939924472e-18,7.864142836793432e-18,1.1174516940200793e-17,-9.396711339756152e-17,0.4999999999999996,1.7049670710583726e-15,2.1409938675633568e-15,0.4999999999999996,-4.584166178958837e-16,0.500000000000003,4.907672169749278e-36,-7.80881984828388e-18,-7.244635110484696e-16,3.5299261137863294e-14,2.7709694951425982e-14,-4.1574914029917176e-14,9.58580972545498e-15,-1.9229083786203405e-15,1.1400257811123038e-14,-4.097498324730341e-13,-3.815283229206377e-13,1.0000000000006166,-1.360736215677933e-13,2.2217765465283693e-14,5.341918305273081e-13,-8.793665857671047e-13,1.1757548115737889e-14,0.9999999999997128,5.562727826340428e-15,-5.881248551338783e-14,-6.046736818582265e-14,-2.920700601679884e-15,1.000000000000245,9.788051706335956e-14,5.053166775368652e-13,2.0130268911320994e-12,-6.276906645047861e-14,-5.50299129841846e-13,1.1325995905090217e-13,1.5594858165148362e-34,1.3820920085458197e-18,-3.485478810353718e-16,2.981192718049912e-17,-1.3475704565263396e-17,0.49999999999999,5.390088366621099e-16,-5.62687775917368e-16,0.5000000000000006,8.20912897693402e-18,0.5000000000000004,2.0981515144757943e-36
